"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 27 11:18:07 EEST 2022","Wed Apr 27 11:18:08 EEST 2022","1057","firefox","example.spec.ts","Editing","","","should trim entered text",""
"passed","Wed Apr 27 11:17:58 EEST 2022","Wed Apr 27 11:17:59 EEST 2022","966","firefox","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Wed Apr 27 11:18:11 EEST 2022","Wed Apr 27 11:18:12 EEST 2022","756","chromium","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Wed Apr 27 11:18:12 EEST 2022","Wed Apr 27 11:18:13 EEST 2022","1046","firefox","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Wed Apr 27 11:18:17 EEST 2022","Wed Apr 27 11:18:18 EEST 2022","1463","webkit","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Wed Apr 27 11:18:01 EEST 2022","Wed Apr 27 11:18:02 EEST 2022","1057","firefox","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Apr 27 11:17:57 EEST 2022","Wed Apr 27 11:17:58 EEST 2022","889","webkit","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Wed Apr 27 11:18:26 EEST 2022","Wed Apr 27 11:18:27 EEST 2022","1593","webkit","example.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Wed Apr 27 11:18:03 EEST 2022","Wed Apr 27 11:18:04 EEST 2022","587","chromium","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Wed Apr 27 11:17:59 EEST 2022","Wed Apr 27 11:17:59 EEST 2022","771","firefox","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Wed Apr 27 11:17:56 EEST 2022","Wed Apr 27 11:17:57 EEST 2022","957","webkit","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Wed Apr 27 11:18:00 EEST 2022","Wed Apr 27 11:18:02 EEST 2022","1964","webkit","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Apr 27 11:18:04 EEST 2022","Wed Apr 27 11:18:04 EEST 2022","732","chromium","example.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Wed Apr 27 11:18:06 EEST 2022","Wed Apr 27 11:18:07 EEST 2022","790","chromium","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Wed Apr 27 11:18:00 EEST 2022","Wed Apr 27 11:18:01 EEST 2022","956","firefox","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Wed Apr 27 11:18:13 EEST 2022","Wed Apr 27 11:18:14 EEST 2022","919","firefox","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Wed Apr 27 11:18:15 EEST 2022","Wed Apr 27 11:18:16 EEST 2022","749","chromium","example.spec.ts","Persistence","","","should persist its data",""
"passed","Wed Apr 27 11:18:09 EEST 2022","Wed Apr 27 11:18:10 EEST 2022","977","firefox","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Wed Apr 27 11:18:03 EEST 2022","Wed Apr 27 11:18:04 EEST 2022","933","firefox","example.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Wed Apr 27 11:18:02 EEST 2022","Wed Apr 27 11:18:04 EEST 2022","1499","webkit","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Wed Apr 27 11:18:16 EEST 2022","Wed Apr 27 11:18:17 EEST 2022","1242","firefox","example.spec.ts","Routing","","","should respect the back button",""
"passed","Wed Apr 27 11:18:06 EEST 2022","Wed Apr 27 11:18:07 EEST 2022","911","firefox","example.spec.ts","Editing","","","should save edits on blur",""
